,word,frequency,length
114,conformidad,60,11
115,personas,60,8
116,comunidad,59,9
117,durante,58,7
118,b,58,1
119,presente,58,8
120,debe,57,4
121,ese,57,3
122,educación,57,9
123,declaración,57,11
124,materia,56,7
125,país,56,4
126,examen,56,6
127,fecha,56,5
128,secretaría,55,10
129,representante,55,13
130,son,55,3
131,organismos,55,10
132,dos,54,3
133,esfuerzos,54,9
134,refugiados,54,10
135,había,54,5
136,cuenta,53,6
137,política,53,8
138,personal,53,8
139,ya,53,2
140,tema,52,4
141,región,52,6
142,centro,52,6
143,desde,51,5
144,está,51,4
145,mantenimiento,51,13
146,población,51,9
147,además,51,6
148,protección,50,10
149,mayo,50,4
150,mediante,50,8
151,siguientes,50,10
152,asuntos,48,7
153,informes,48,8
154,gran,48,4
155,resoluciones,48,12
156,fondo,47,5
157,base,47,4
158,ambiente,47,8
159,operaciones,47,11
160,cuestión,47,8
161,esos,47,4
162,atención,47,8
163,gubernamentales,47,15
164,coordinación,47,12
165,particular,46,10
166,económico,45,9
167,gastos,45,6
168,relación,45,8
169,todo,45,4
170,junio,44,5
171,esa,44,3
172,documento,44,9
173,federación,44,10
174,problemas,44,9
175,proceso,44,7
176,virtud,43,6
177,principios,43,10
178,regional,42,8
179,niños,42,5
180,año,42,3
181,relaciones,42,10
182,cabo,42,4
183,marzo,42,5
184,necesidades,41,11
185,le,41,2
186,esas,41,4
187,nivel,41,5
188,misión,41,6
189,representantes,41,14
190,ante,41,4
191,territorios,41,11
192,sesión,41,6
193,china,41,5
194,reunión,41,7
195,sociales,41,8
196,mujer,41,5
197,regionales,40,10
198,relativas,40,9
199,instituciones,40,13
200,nº,40,2
201,celebrada,40,9
202,económica,40,9
203,años,40,4
204,armas,40,5
205,pertinentes,40,11
206,julio,40,5
207,c,40,1
208,popular,39,7
209,gestión,39,7
210,islámica,39,8
211,hasta,38,5
212,abril,38,5
213,decisiones,38,10
214,vez,38,3
215,importancia,38,11
216,noviembre,38,9
217,corea,38,5
218,mundo,38,5
219,presupuesto,38,11
220,oficina,38,7
221,condiciones,38,11
222,forma,38,5
223,guinea,37,6
224,conferencias,37,12
225,cuadragésimo,37,12
226,capacidad,37,9
227,d,37,1
228,islas,37,5
229,gobiernos,37,9
230,capacitación,36,12
231,antes,36,5
232,nota,36,4
233,mayor,36,5
234,tiene,36,5
235,iraq,36,4
236,número,36,6
237,asociación,35,10
238,cada,35,4
239,deben,35,5
240,sido,35,4
241,mujeres,35,7
242,tecnología,35,10
243,órganos,35,7
244,puede,35,5
245,arreglo,35,7
246,investigación,35,13
247,anexo,35,5
248,irlanda,35,7
249,técnica,34,7
250,democrática,34,11
251,sudáfrica,34,9
252,casos,34,5
253,dentro,34,6
254,esfera,33,6
255,cuando,33,6
256,datos,33,5
257,américa,33,7
258,septiembre,33,10
259,caso,33,4
260,sostenible,33,10
261,kenya,33,5
262,ex,33,2
263,administración,33,14
264,indonesia,33,9
265,ii,33,2
266,políticos,33,9
267,proyectos,33,9
268,primer,32,6
269,zonas,32,5
270,tanto,32,5
271,nuevo,32,5
272,estos,32,5
273,hecho,31,5
274,temas,31,5
275,permanente,31,10
276,financiación,31,12
277,yugoslavia,31,10
278,of,31,2
279,lugar,31,5
280,habían,31,6
281,rusia,31,5
282,decenio,30,7
283,importante,30,10
284,evaluación,30,10
285,normas,30,6
286,funciones,30,9
287,comercio,30,8
288,véase,30,5
289,brasil,30,6
290,titulado,30,8
291,mozambique,30,10
292,embargo,30,7
293,promover,29,8
294,árabe,29,5
295,sólo,29,4
296,discriminación,29,14
297,funcionarios,29,12
298,territorio,29,10
299,necesidad,29,9
300,delegación,29,10
301,después,29,7
302,hace,29,4
303,algunos,29,7
304,sudán,29,5
305,sector,29,6
306,haití,29,5
307,teniendo,29,8
308,manera,29,6
309,organismo,28,9
310,opinión,28,7
311,cual,28,4
312,lograr,28,6
313,empleo,28,6
314,otra,28,4
315,tribunal,28,8
316,hacer,28,5
317,bangladesh,28,10
318,principales,28,11
319,tienen,28,6
320,establecimiento,28,15
321,consultiva,28,10
322,civil,28,5
323,egipto,28,6
324,kuwait,28,6
325,pública,27,7
326,reuniones,27,9
327,podría,27,6
328,participación,27,13
329,sri,27,3
330,lanka,27,5
331,especialmente,27,13
332,papel,27,5
333,desarme,27,7
334,observadores,27,12
335,puesto,27,6
336,grupos,27,6
337,irán,27,4
338,vida,27,4
339,marco,27,5
340,utilización,27,11
341,salud,27,5
342,francia,27,7
343,argelia,27,7
344,favor,27,5
345,propuestas,27,10
346,india,27,5
347,venezuela,26,9
348,posible,26,7
349,i,26,1
350,nombre,26,6
351,alto,26,4
352,mandato,26,7
353,tailandia,26,9
354,preparación,26,11
355,drogas,26,6
356,malasia,26,7
357,chile,26,5
358,según,26,5
359,sentido,26,7
360,esferas,26,7
361,árabes,26,6
362,sección,26,7
363,australia,26,9
364,función,26,7
365,unida,26,5
366,departamento,26,12
367,bajos,26,5
368,tratado,26,7
369,ejecución,26,9
370,tres,26,4
371,pakistán,26,8
372,fondos,26,6
373,unido,26,5
374,objetivos,26,9
375,labor,25,5
376,estudio,25,7
377,enero,25,5
378,promoción,25,9
379,instituto,25,9
380,recomendaciones,25,15
381,dirigida,25,8
382,nigeria,25,7
383,mi,25,2
384,estas,25,5
385,especiales,25,10
386,especializados,25,14
387,autoridades,25,11
388,resultados,25,10
389,agosto,25,6
390,posibilidad,25,11
391,chipre,25,6
392,servicio,25,8
393,total,25,5
394,japón,25,5
395,justicia,25,8
396,uno,25,3
397,equipo,25,6
398,alemania,24,8
399,carácter,24,8
400,norte,24,5
401,cumplimiento,24,12
402,preocupación,24,12
403,tiempo,24,6
404,fue,24,3
405,for,24,3
406,zona,24,4
407,deberían,24,8
408,relacionadas,24,12
409,bolivia,24,7
410,junta,24,5
411,ciencia,24,7
412,mejorar,24,7
413,marruecos,24,9
414,canadá,24,6
415,febrero,24,7
416,garantizar,24,10
417,ello,24,4
418,medios,24,6
419,instrumentos,24,12
420,relator,23,7
421,planificación,23,13
422,pero,23,4
423,uganda,23,6
424,solución,23,8
425,momento,23,7
426,menos,23,5
427,económicas,23,10
428,unión,23,5
429,israel,23,6
430,establecer,23,10
431,militares,23,9
432,fuerzas,23,7
433,jordania,23,8
434,filipinas,23,9
435,españa,23,6
436,méxico,23,6
437,cuba,23,4
438,ucrania,23,7
439,mongolia,23,8
440,colombia,23,8
441,perú,23,4
442,tanzanía,23,8
443,objeto,23,6
444,poblaciones,23,11
445,aspectos,23,8
446,siria,23,5
447,provisional,23,11
448,respeto,23,7
449,bajo,23,4
450,actual,23,6
451,eliminación,23,11
452,reino,23,5
453,contexto,23,8
454,pueden,23,6
455,pide,23,4
456,pidió,23,5
457,benin,23,5
458,culturales,23,10
459,interpretación,23,14
460,plazo,23,5
461,sistemas,23,8
462,generales,23,9
463,colaboración,23,12
464,importantes,22,11
465,económicos,22,10
466,primera,22,7
467,aplicar,22,7
468,uso,22,3
469,obligaciones,22,12
470,vivienda,22,8
471,uruguay,22,7
472,acuerdos,22,8
473,arabia,22,6
474,saudita,22,7
475,botswana,22,8
476,formación,22,9
477,camerún,22,7
478,guyana,22,6
479,turquía,22,7
480,túnez,22,5
481,acceso,22,6
482,níger,22,5
483,defensa,22,7
484,investigaciones,22,15
485,fortalecimiento,22,15
486,tener,22,5
487,violaciones,22,11
488,misma,22,5
489,africa,22,6
490,barbados,22,8
491,indígenas,22,9
492,artículos,22,9
493,lucha,22,5
494,creación,22,8
495,ellos,22,5
496,bosnia,22,6
497,malí,21,4
498,miras,21,5
499,régimen,21,7
500,jamaica,21,7
501,nuevas,21,6
502,constituyen,21,11
503,tal,21,3
504,argentina,21,9
505,fines,21,5
506,otro,21,4
507,locales,21,7
508,contribución,21,12
509,mauritania,21,10
510,ghana,21,5
511,propuesta,21,9
512,cargo,21,5
513,nuevos,21,6
514,belarús,21,7
515,tales,21,5
516,zelandia,21,8
517,resultado,21,9
518,mismo,21,5
519,decidió,21,7
520,trinidad,21,8
521,civiles,21,7
522,arabe,21,5
523,cuanto,21,6
524,pueblos,21,7
525,ejemplo,21,7
526,pacto,21,5
527,público,21,7
528,cuyo,21,4
529,centros,21,7
530,bretaña,20,7
531,sea,20,3
532,cambio,20,6
533,austria,20,7
534,portugal,20,8
535,reconocimiento,20,14
536,libia,20,5
537,zimbabwe,20,8
538,tabago,20,6
539,italia,20,6
540,rumania,20,7
541,ni,20,2
542,muchos,20,6
543,están,20,5
544,suriname,20,8
545,toda,20,4
546,judicial,20,8
547,armenia,20,7
548,orden,20,5
549,noruega,20,7
550,categoría,20,9
551,tratados,20,8
552,documentos,20,10
553,azerbaiyán,20,10
554,pnud,20,4
555,examinar,20,8
556,común,20,5
557,fuerza,20,6
558,condición,20,9
559,nuestro,20,7
560,adopción,20,8
561,maldivas,20,8
562,dar,20,3
563,figuran,20,7
564,existentes,20,10
565,jamahiriya,20,10
566,zambia,20,6
567,antigua,20,7
568,ecuador,20,7
569,debido,20,6
570,guatemala,20,9
571,nucleares,19,9
572,básicos,19,7
573,consecuencia,19,12
574,darussalam,19,10
575,brunei,19,6
576,penal,19,5
577,principio,19,9
578,productos,19,9
579,efectos,19,7
580,interés,19,7
581,oficinas,19,8
582,fuera,19,5
583,costa,19,5
584,inglés,19,6
585,herzegovina,19,11
586,policía,19,7
587,igualdad,19,8
588,debería,19,7
589,capítulo,19,8
590,necesarias,19,10
591,expertos,19,8
592,libre,19,5
593,siguiente,19,9
594,sanciones,19,9
595,estudios,19,8
596,considera,19,9
597,international,19,13
598,algunas,19,7
599,ivoire,19,6
600,acerca,19,6
601,côte,19,4
602,incluidas,19,9
603,faso,19,4
604,burkina,19,7
605,panamá,19,6
606,necesario,19,9
607,largo,19,5
608,problema,19,8
609,senegal,19,7
610,singapur,19,8
611,sede,19,4
612,universal,19,9
613,código,19,6
614,nicaragua,19,9
615,era,19,3
616,suecia,19,6
617,togo,19,4
618,aumento,18,7
619,intereses,18,9
620,camboya,18,7
621,pueblo,18,6
622,comunicaciones,18,14
623,presentado,18,10
624,etiopía,18,7
625,poder,18,5
626,diversas,18,8
627,hungría,18,7
628,hacia,18,5
629,conjunto,18,8
630,pacífico,18,8
631,delegaciones,18,12
632,aprobó,18,6
633,bulgaria,18,8
634,vigilancia,18,10
635,and,18,3
636,york,18,4
637,the,18,3
638,futuro,18,6
639,energía,18,7
640,constitución,18,12
641,asentamientos,18,13
642,verde,18,5
643,control,18,7
644,bahamas,18,7
645,poner,18,5
646,polonia,18,7
647,disposición,18,11
648,práctica,18,8
649,curso,18,5
650,emiratos,18,8
651,asimismo,18,8
652,elaborar,18,8
653,namibia,18,7
654,economía,18,8
655,propone,18,7
656,nepal,18,5
657,crecimiento,18,11
658,corte,18,5
659,muy,17,3
660,qatar,17,5
661,plan,17,4
662,les,17,3
663,omán,17,4
664,último,17,6
665,proporcionar,17,12
666,párr,17,4
667,myanmar,17,7
668,estadísticas,17,12
669,grecia,17,6
670,libertad,17,8
671,votos,17,5
672,diversos,17,8
673,habida,17,6
674,csce,17,4
675,aprobación,17,10
676,bhután,17,6
677,enseñanza,17,9
678,día,17,3
679,órgano,17,6
680,medida,17,6
681,frente,17,6
682,bélgica,17,7
683,nam,17,3
684,viet,17,4
685,procedimiento,17,13
686,yemen,17,5
687,líbano,17,6
688,tras,17,4
689,afganistán,17,10
690,fiscalización,17,13
691,rica,17,4
692,leyes,17,5
693,puestos,17,7
694,determinación,17,13
695,cuatro,17,6
696,adoptar,17,7
697,albania,17,7
698,varios,17,6
699,contribuciones,17,14
700,días,17,4
701,regiones,17,8
702,dirección,16,9
703,barbuda,16,7
704,bienio,16,6
705,pequeños,16,8
706,competencia,16,11
707,viena,16,5
708,río,16,3
709,rwanda,16,6
710,exteriores,16,10
711,salvador,16,8
712,ingresos,16,8
713,texto,16,5
714,autoridad,16,9
715,director,16,8
716,consultas,16,9
717,facilitar,16,9
718,europa,16,6
719,cosas,16,5
720,aumentar,16,8
721,global,16,6
722,paraguay,16,8
723,estatuto,16,8
724,fiji,16,4
725,fundamentales,16,13
726,bahrein,16,7
727,experiencia,16,11
728,relativos,16,9
729,haber,16,5
730,serie,16,5
731,división,16,8
732,independencia,16,13
733,crear,16,5
734,papua,16,5
735,actos,16,5
736,madagascar,16,10
737,kazajstán,16,9
738,sierra,16,6
739,necesaria,16,9
740,sí,16,2
741,finlandia,16,9
742,objetivo,16,8
743,financieras,16,11
744,dinamarca,16,9
745,eslovaquia,16,10
746,familia,16,7
747,minorías,16,8
748,europea,16,7
749,niño,16,4
750,períodos,16,8
751,análisis,16,8
752,mecanismos,16,10
753,publicación,16,11
754,persona,16,7
755,croacia,16,7
756,bienes,16,6
757,palestina,15,9
758,aunque,15,6
759,formulación,15,11
760,lista,15,5
761,unctad,15,6
762,cumplir,15,7
763,hay,15,3
764,militar,15,7
765,señala,15,6
766,comisionado,15,11
767,lao,15,3
768,octavo,15,6
769,estrategia,15,10
770,yugoslava,15,9
771,macedonia,15,9
772,incluidos,15,9
773,participar,15,10
774,prácticas,15,9
775,cinco,15,5
776,correspondiente,15,15
777,sino,15,4
778,pobreza,15,7
779,asegurar,15,8
780,islandia,15,8
781,prevención,15,10
782,noveno,15,6
783,mecanismo,15,9
784,cifras,15,6
785,producción,15,10
786,leona,15,5
787,directrices,15,11
788,responsabilidad,15,15
789,iii,15,3
790,estonia,15,7
791,empresas,15,8
792,angola,15,6
793,octubre,15,7
794,observaciones,15,13
795,permanentes,15,11
796,comunicación,15,12
797,cualquier,15,9
798,ginebra,15,7
799,profesional,15,11
800,escala,15,6
801,fomento,15,7
802,vigor,15,5
803,oficiales,15,9
804,unidad,15,6
805,político,15,8
806,sra,15,3
807,progresos,14,9
808,vista,14,5
809,costo,14,5
810,pueda,14,5
811,jóvenes,14,7
812,protocolo,14,9
813,funcionamiento,14,14
814,plenamente,14,10
815,eficiencia,14,10
816,cuales,14,6
817,áfrica,14,6
818,dado,14,4
819,cursos,14,6
820,decir,14,5
821,podrían,14,7
822,industrial,14,10
823,razón,14,5
824,checa,14,5
825,amplia,14,6
826,resolver,14,8
827,conflicto,14,9
828,vii,14,3
829,tortura,14,7
830,fomentar,14,8
831,administrativo,14,14
832,oficial,14,7
833,criterios,14,9
834,sean,14,4
835,asia,14,4
836,trata,14,5
837,cuadro,14,6
838,financieros,14,11
839,graves,14,6
840,prestar,14,7
841,liechtenstein,14,13
842,operación,14,9
843,oua,14,3
844,niveles,14,7
845,mayoría,14,7
846,federativa,14,10
847,concepto,14,8
848,incluida,14,8
849,minas,14,5
850,cambios,14,7
851,particularmente,14,15
852,reglamento,14,10
853,foro,14,4
854,segunda,14,7
855,bien,14,4
856,demás,14,5
857,djibouti,13,8
858,segundo,13,7
859,calidad,13,7
860,mauricio,13,8
861,debate,13,6
862,hayan,13,5
863,micronesia,13,10
864,congo,13,5
865,intercambio,13,11
866,emergencia,13,10
867,honduras,13,8
868,posición,13,8
869,liga,13,4
870,federados,13,9
871,marshall,13,8
872,consecuencias,13,13
873,aún,13,3
874,negociación,13,11
875,consenso,13,8
876,comerciales,13,11
877,centroafricana,13,14
878,nuestra,13,7
879,donantes,13,8
880,amplio,13,6
881,economías,13,9
882,transición,13,10
883,donde,13,5
884,respuesta,13,9
885,recomendación,13,13
886,haya,13,4
887,georgia,13,7
888,cultura,13,7
889,unicef,13,6
890,insulares,13,9
891,burundi,13,7
892,tarea,13,5
893,meses,13,5
894,procedimientos,13,14
895,cantidad,13,8
896,dispuesto,13,9
897,malta,13,5
898,socorro,13,7
899,constituye,13,10
900,hábitat,13,7
901,celebración,13,11
902,swazilandia,13,11
903,créditos,13,8
904,fundamental,13,11
905,oriente,13,7
906,oriental,13,8
907,formas,13,6
908,final,13,5
909,seis,13,4
910,letonia,13,7
911,aprobado,13,8
912,adicional,13,9
913,elaboración,13,11
914,contribuir,13,10
915,toma,13,4
916,estrategias,13,11
917,correspondientes,13,16
918,sociedad,13,8
919,transporte,13,10
920,dice,13,4
921,relativo,13,8
922,propósito,13,9
923,alimentación,13,12
924,gabón,13,5
925,asesoramiento,13,13
926,unprofor,13,8
927,lesotho,13,7
928,nos,13,3
929,falta,13,5
930,mientras,13,8
931,continuación,13,12
932,infancia,12,8
933,ministros,12,9
934,adhesión,12,8
935,arabes,12,6
936,satisfacción,12,12
937,recomendó,12,9
938,transferencia,12,13
939,factores,12,8
940,interior,12,8
941,hechos,12,6
942,incluso,12,7
943,habría,12,6
944,realización,12,11
945,incluyen,12,8
946,administrativos,12,15
947,preparatorio,12,12
948,consideración,12,13
949,eficaz,12,6
950,tareas,12,6
951,tipo,12,4
952,delito,12,6
953,luxemburgo,12,10
954,guerra,12,6
955,san,12,3
956,agua,12,4
957,últimos,12,7
958,juicio,12,6
959,determinar,12,10
960,ministerio,12,10
961,prohibición,12,11
962,publicaciones,12,13
963,humanitaria,12,11
964,santa,12,5
965,supervisión,12,11
966,reglamentos,12,11
967,tomó,12,4
968,ningún,12,6
969,presentación,12,12
970,kirguistán,12,10
971,dispone,12,7
972,malawi,12,6
973,qué,12,3
974,deuda,12,5
975,concretas,12,9
976,oportunidades,12,13
977,legislación,12,11
978,estructura,12,10
979,naturales,12,9
980,podrá,12,5
981,ejecutivo,12,9
982,declaraciones,12,13
983,evolución,11,9
984,misiones,11,8
985,varias,11,6
986,firmado,11,7
987,será,11,4
988,inspección,11,10
989,gaza,11,4
990,caribe,11,6
991,reducción,11,9
992,moldova,11,7
993,africanos,11,9
994,alcanzar,11,8
995,belice,11,6
996,lituania,11,8
997,comprensión,11,11
998,adicionales,11,11
999,efecto,11,6
1000,ayuda,11,5
1001,electoral,11,9
1002,unos,11,4
1003,asunto,11,6
1004,inversiones,11,11
1005,obstante,11,8
1006,cuya,11,4
1007,presencia,11,9
1008,séptimo,11,7
1009,previstas,11,9
1010,africana,11,8
1011,valor,11,5
1012,muerte,11,6
1013,indicadores,11,11
1014,humanitarios,11,12
1015,alguna,11,6
1016,instrumento,11,11
1017,meridional,11,10
1018,elementos,11,9
1019,pasado,11,6
1020,través,11,6
1021,fuentes,11,7
1022,dicha,11,5
1023,financiera,11,10
1024,ejercicio,11,9
1025,conflictos,11,10
1026,samoa,11,5
1027,prioridades,11,11
1028,banco,11,5
1029,jefe,11,4
1030,compromiso,11,10
1031,realizado,11,9
1032,pesar,11,5
1033,adelantados,11,11
1034,incluido,11,8
1035,recordando,11,10
1036,integración,11,11
1037,valores,11,7
1038,racial,11,6
1039,horas,11,5
1040,violación,11,9
1041,celebradas,11,10
1042,comprendido,11,11
1043,red,11,3
1044,respecta,11,8
1045,autor,11,5
1046,competentes,11,11
1047,peligro,11,7
1048,tasa,11,4
1049,título,11,6
1050,dicho,11,5
1051,difusión,11,8
1052,subcomisión,10,11
1053,estimaciones,10,12
1054,recuperación,10,12
1055,señaló,10,6
1056,comunes,10,7
1057,tribunales,10,10
1058,vi,10,2
1059,situaciones,10,11
1060,material,10,8
1061,universidad,10,11
1062,posibles,10,8
1063,apartheid,10,9
1064,fortalecer,10,10
1065,occidental,10,10
1066,principal,10,9
1067,composición,10,11
1068,dependencia,10,11
1069,incluir,10,7
1070,mucho,10,5
1071,quinto,10,6
1072,punto,10,5
1073,representación,10,14
1074,convenio,10,8
1075,relacionados,10,12
1076,públicas,10,8
1077,presentó,10,8
1078,tráfico,10,7
1079,anterior,10,8
1080,serbia,10,6
1081,compromisos,10,11
1082,sur,10,3
1083,cooperar,10,8
1084,confianza,10,9
1085,ilícito,10,7
1086,encargado,10,9
1087,central,10,7
1088,siendo,10,6
1089,conservación,10,12
1090,navegación,10,10
1091,necesarios,10,10
1092,responsabilidades,10,17
1093,adoptado,10,8
1094,concretos,10,9
1095,estabilidad,10,11
1096,tercera,10,7
1097,examinó,10,7
1098,afectados,10,9
1099,observación,10,11
1100,ahora,10,5
1101,tecnologías,10,11
1102,seguimiento,10,11
1103,coordinador,10,11
1104,democracia,10,10
1105,tierra,10,6
1106,turkmenistán,10,12
1107,previsto,10,8
1108,categorías,10,10
1109,cabe,10,4
1110,gambia,10,6
1111,quienes,10,7
1112,latina,10,6
1113,ellas,10,5
1114,existencia,10,10
1115,mejor,10,5
1116,sectores,10,8
1117,uzbekistán,10,10
1118,establecido,10,11
1119,humanitarias,10,12
1120,repatriación,10,12
1121,considerablemente,10,17
1122,víctimas,10,8
1123,figura,10,6
1124,distintos,10,9
1125,extranjeros,10,11
1126,trabajos,10,8
1127,adjunto,10,7
1128,urgente,10,7
1129,exhorta,10,7
1130,progreso,10,8
1131,f,10,1
1132,controversias,10,13
1133,fueron,10,6
1134,violencia,10,9
1135,deberá,10,6
1136,mantener,10,8
1137,contactos,10,9
1138,luego,10,5
1139,grave,10,5
1140,apoya,10,5
1141,recibido,9,8
1142,pena,9,4
1143,conclusiones,9,12
1144,elecciones,9,10
1145,terreno,9,7
1146,reducir,9,7
1147,ninguna,9,7
1148,dificultades,9,12
1149,realizar,9,8
1150,palestino,9,9
1151,refiere,9,7
1152,porque,9,6
1153,alta,9,4
1154,crímenes,9,8
1155,obligación,9,10
1156,puedan,9,6
1157,circunstancias,9,14
1158,esto,9,4
1159,principalmente,9,14
1160,technology,9,10
1161,excepción,9,9
1162,sexta,9,5
1163,enmienda,9,8
1164,básicas,9,7
1165,enfoque,9,7
1166,llamamiento,9,11
1167,eliminar,9,8
1168,estudiantes,9,11
1169,creado,9,6
1170,solicitudes,9,11
1171,éxito,9,5
1172,plena,9,5
1173,jurídico,9,8
1174,reciente,9,8
1175,dedicación,9,10
1176,eficacia,9,8
1177,fuego,9,5
1178,acoge,9,5
1179,tipos,9,5
1180,mejoramiento,9,12
1181,tendencias,9,10
1182,internos,9,8
1183,hombres,9,7
1184,privado,9,7
1185,negociaciones,9,13
1186,mercado,9,7
1187,alimentos,9,9
1188,alcance,9,7
1189,algún,9,5
1190,claramente,9,10
1191,iniciativa,9,10
1192,reforma,9,7
1193,estrecha,9,8
1194,tenido,9,6
1195,palabras,9,8
1196,integridad,9,10
1197,ministro,9,8
1198,efectivos,9,9
1199,párrafos,9,8
1200,cuarta,9,6
1201,presentar,9,9
1202,intergubernamentales,9,20
1203,naturaleza,9,10
1204,observa,9,7
1205,quinta,9,6
1206,desertificación,9,15
1207,ensayos,9,7
1208,honor,9,5
1209,prioridad,9,9
1210,centre,9,6
1211,cualquiera,9,10
1212,capital,9,7
1213,jurídica,9,8
1214,operacionales,9,13
1215,bases,9,5
1216,plenaria,9,8
1217,próximo,9,7
1218,reestructuración,9,16
1219,párrs,9,5
1220,pequeñas,9,8
1221,votación,9,8
1222,máximo,9,6
1223,referencia,9,10
1224,u,9,1
1225,conciencia,9,10
1226,granada,9,7
1227,revisión,9,8
1228,jefes,9,5
1229,entidades,9,9
1230,destrucción,9,11
1231,aprobadas,9,9
1232,planes,9,6
1233,ambiental,9,9
1234,jurisdicción,9,12
1235,movimiento,9,10
1236,conversaciones,9,14
1237,examinado,9,9
1238,lugares,9,7
1239,realizados,9,10
1240,libertades,9,10
1241,cumbre,9,6
1242,agricultura,9,11
1243,saber,9,5
1244,acnur,9,5
1245,ordenación,9,10
1246,observador,8,10
1247,deberán,8,7
1248,incluye,8,7
1249,nuclear,8,7
1250,relativa,8,8
1251,hizo,8,4
1252,inciso,8,6
1253,completo,8,8
1254,intención,8,9
1255,g,8,1
1256,observancia,8,11
1257,actualmente,8,11
1258,restablecimiento,8,16
1259,institute,8,9
1260,seminarios,8,10
1261,evaluar,8,7
1262,indica,8,6
1263,modalidades,8,11
1264,familias,8,8
1265,él,8,2
1266,ciertas,8,7
1267,atender,8,7
1268,respectivamente,8,15
1269,presentara,8,10
1270,consulta,8,8
1271,apertura,8,8
1272,crimen,8,6
1273,visita,8,6
1274,estar,8,5
1275,development,8,11
1276,estimación,8,10
1277,somalia,8,7
1278,tomando,8,7
1279,deliberaciones,8,14
1280,origen,8,6
1281,tome,8,4
1282,oficiosas,8,9
1283,ambos,8,5
1284,tengan,8,6
1285,adoptadas,8,9
1286,funcionario,8,11
1287,difícil,8,7
1288,novena,8,6
1289,andorra,8,7
1290,ciudad,8,6
1291,convenciones,8,12
1292,verificación,8,12
1293,geográfica,8,10
1294,formulada,8,9
1295,convencionales,8,14
1296,cuentas,8,7
1297,escuelas,8,8
1298,recibir,8,7
1299,motivos,8,7
1300,informó,8,7
1301,interna,8,7
1302,tercer,8,6
1303,garantía,8,8
1304,renovación,8,10
1305,opiniones,8,9
1306,encuentran,8,10
1307,enlace,8,6
1308,utilizar,8,8
1309,conforme,8,8
1310,éstos,8,5
1311,esperanza,8,9
1312,participó,8,9
1313,seminario,8,9
1314,instalaciones,8,13
1315,chad,8,4
1316,causas,8,6
1317,contraer,8,8
1318,riesgo,8,6
1319,cuotas,8,6
1320,financiero,8,10
1321,constitucional,8,14
1322,continuar,8,9
1323,dependencias,8,12
1324,lucía,8,5
1325,estaba,8,6
1326,soberanía,8,9
1327,timor,8,5
1328,comisiones,8,10
1329,delitos,8,7
1330,abarca,8,6
1331,propiedad,8,9
1332,actuales,8,8
1333,armamentos,8,10
1334,prestación,8,10
1335,comunidades,8,11
1336,espacio,8,7
1337,infraestructura,8,15
1338,definitiva,8,10
1339,propios,8,7
1340,consiguiente,8,12
1341,producto,8,8
1342,señalar,8,7
1343,comercial,8,9
1344,tenga,8,5
1345,cuarto,8,6
1346,insta,8,5
1347,eran,8,4
1348,bilaterales,8,11
1349,preparar,8,8
1350,logro,8,5
1351,invita,8,6
1352,inspecciones,8,12
1353,espíritu,8,8
1354,expresa,8,7
1355,luz,8,3
1356,solicitud,8,9
1357,oportunidad,8,11
