Reference	EN	ES
doc#162	"<s> 21 . The Committee also believes that in view of the changing scope and functions of the Mission , staff members could be assigned different functions , as required , such as political affairs , election supervision and monitoring of human rights with a view to containing the number of additional posts , particularly at the senior level , bearing in mind that the personal level or recognition of an incumbent should not determine the level of a particular post ( A/46/904 , para . 16 ; A/47/900 , para . 18 ) . </s>"	"<s> 21 . </s><s> La Comisión Consultiva también cree que , habida cuenta de los cambios en el alcance y las funciones de la Misión , se podrían asignar distintos cometidos a los funcionarios , según fuera necesario , tales como asuntos políticos , supervisión de las elecciones y supervisión de los derechos humanos , con miras a limitar la cantidad de puestos adicionales , particularmente en las categorías superiores , teniendo presente que la categoría personal o el reconocimiento del titular de un puesto no debería determinar la categoría de un puesto concreto ( A/46/904 , párr . 16 ; A/47/900 , párr . 18 ) . </s>"
doc#163	"<s> 6 . By its resolution 814 of 26 March 1993 , the Security Council , acting under Chapter VII of the Charter of the United Nations , inter alia , approved the report of the Secretary-General of 3 March 1993 1/ and decided to expand the size of the UNOSOM force and its mandate in accordance with the recommendations contained in paragraphs 56 to 88 of that report . </s>"	"<s> 6 . </s><s> El Consejo de Seguridad , en su resolución 814 ( 1993 ) , de 26 de marzo de 1993 , actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas , entre otras cosas , aprobó el informe del Secretario General del 3 de marzo de 19911 y decidió aumentar los efectivos de la fuerza de la ONUSOM y ampliar su mandato de conformidad con las recomendaciones contenidas en los párrafos 56 a 88 del mencionado informe . </s>"
doc#170	<s> The Committee emphasizes that the manual which it envisages should not duplicate that report but rather provide more technical details . </s>	"<s> La Comisión subraya que el manual previsto no duplicaría ese informe , sino que proporcionaría en cambio detalles más técnicos . </s>"
doc#180	<s> Second Committee : Mr. René Valéry Mongbé ( Benin ) </s>	<s> Segunda Comisión : Sr . </s><s> René Valéry Mongbé ( Benin ) </s>
doc#180	"<s> Document : Report of the Secretary-General ( resolution 47/79 ) , A /48/439 . </s>"	"<s> Documento : Informe del Secretario General ( resolución 47/79 ) , A/48/439 . </s>"
doc#190	"<s> The new development policies , however , indicate that more active collaboration between those three groups could help to advance significantly international economic and social development . </s>"	"<s> Sin embargo , las nuevas políticas de desarrollo indican que una colaboración más activa entre esos tres grupos podría contribuir considerablemente al desarrollo económico y social internacional . </s>"
doc#191	"<s> If repatriation and reintegration are well-planned , in coordination with other United Nations agencies , I believe they can lay the foundations for longer-term development . </s>"	"<s> Si la repatriación y la reintegración se planifican debidamente , en coordinación con otros organismos de las Naciones Unidas , creo que pueden echar las bases para un desarrollo a más largo plazo . </s>"
doc#192	"<s> Apart from a brief period in April-May 1992 when malnutrition was a serious threat in the camps , the assistance programme has addressed the needs efficiently and expeditiously with the help of international and local NGOs . </s>"	"<s> Aparte de un breve período en abril-mayo de 1992 , cuando la malnutrición fue una grave amenaza , con el programa de asistencia se han satisfecho suficiente y rápidamente las necesidades , con ayuda de organizaciones no gubernamentales locales e internacionales . </s>"
doc#211	"<s> The Secretary-General has the honour to transmit to the General Assembly and to the Economic and Social Council , as an annex to the present note , the report of the Director-General of the World Health Organization on the implementation of the global strategy for the prevention and control of AIDS , prepared in pursuance of General Assembly resolution 47/40 of 1 December 1992 . </s>"	"<s> El Secretario General tiene el honor de transmitir al Consejo Económico y Social y a la Asamblea General , como anexo a la presente nota , el informe del Director General de la Organización Mundial de la Salud sobre la aplicación de la estrategia mundial de acción preventiva y lucha contra el SIDA , preparado de conformidad con la resolución 47/40 de la Asamblea General , de 1º de diciembre de 1992 . </s>"
doc#211	"<s> 49 . Plans for development of vaccine evaluation sites , describing specific activities for infrastructure strengthening , training and baseline research in the areas of HIV isolation and characterization , clinical research ( phase I/II trials ) , epidemiology ( cohort studies ) , data management , and social and behavioural studies for vaccine development , were prepared with local authorities and scientists from Brazil , Rwanda , Thailand and Uganda . </s>"	"<s> 49 . </s><s> En colaboración con autoridades locales y especialistas del Brasil , Rwanda , Tailandia y Uganda se prepararon planes respecto de lugares apropiados para evaluación de vacunas , en los que se describen actividades específicas de fortalecimiento de infraestructuras , adiestramiento e investigación básica en los sectores de aislamiento y caracterización del VIH , investigación clínica ( ensayos de fase I/II ) , epidemiología ( estudios por cohortes ) , manipulación de datos y estudios sociales y del comportamiento para desarrollo de vacunas . </s>"
doc#211	"<s> Its terms of reference are to encourage the exchange of information , provide a focal point at the global level to address coordination issues and concerns , actively promote coordinated implementation of policies and programmes , monitor the mobilization and distribution of global resources for AIDS-related activities , identify coordination issues among external support agencies of urgent concern at various levels , prepare a comprehensive biennial report summarizing the HIV/AIDS-related activities of major external support agencies , and organize special meetings on key issues . </s>"	"<s> Sus atribuciones son : alentar el intercambio de información , crear un centro de coordinación para abordar las cuestiones importantes de coordinación , promover activamente la ejecución coordinada de políticas y programas , vigilar la movilización y distribución de los recursos mundiales para las actividades relacionadas con el SIDA , determinar los temas de coordinación entre organismos de apoyo externos que supongan una preocupación urgente a diferentes niveles , preparar un informe bienal de carácter global en el que se resuman las actividades relacionadas con el VIH/SIDA de los organismos de apoyo externos más importantes , y organizar reuniones especiales sobre temas clave . </s>"
doc#226	"<s> 40 . The Committee questioned the usefulness of designating high or low priorities at the level of output or activity , representing 10 per cent of the resources , and recommended that that be discontinued . </s>"	"<s> El Comité cuestionó la utilidad de designar altas o bajas prioridades a nivel de producto o actividad , que representaba un 10 % de los recursos , y recomendó la interrupción de esta práctica . </s>"
doc#226	<s> 136 . The Committee recommended approval by the General Assembly of the programme narrative of section 14 of the proposed programme budget for the biennium 1994-1995 . </s>	<s> El Comité recomendó a la Asamblea General que aprobara la descripción del programa que figura en la sección 14 del proyecto de presupuesto por programas para el bienio 1994-1995 . </s>
doc#228	<s> 114 . The Committee recommended that a corrigendum should be issued to the medium-term plan for the period 1992-1997 1/ to reflect the recommendation in paragraph 119 of the report of the thirty-second session of CPC regarding the title of programme 17 and subprogramme 1 . </s>	"<s> El Comité recomendó que se publicara una corrección al plan de mediano plazo para el período 1992-19971 a fin de reflejar la recomendación que figura en el párrafo 119 del informe del CPC sobre su 32º período de sesiones , con respecto al título del programa 17 y el subprograma 1 . </s>"
doc#234	"<s> ( c ) Making a recommendation that the General Assembly consider in what forum a coherent , legally binding international instrument to reinforce the existing arrangements regarding the status and safety of United Nations personnel might be developed . </s>"	<s> c ) Recomendar que la Asamblea General estudie qué órgano podría elaborar un instrumento internacional coherente y jurídicamente vinculante destinado a reforzar las disposiciones vigentes relativas al estatuto y la seguridad del personal de las Naciones Unidas . </s>
doc#234	"<s> ( 2 ) Ground , water and air transportation vehicles of the personnel of the United Nations force and associated civilian personnel shall be marked by the distinctive United Nations emblem reported to the Government of the State in whose territory the United Nations peace-keeping operation is conducted ; </s>"	"<s> 2 ) Los vehículos de transporte por tierra , agua y aire del personal de las fuerzas de las Naciones Unidas y del personal civil correspondiente estarán marcados con el distintivo de las Naciones Unidas que haya sido puesto en conocimiento del gobierno del Estado en cuyo territorio se realice una operación de las Naciones Unidas de mantenimiento de la paz ; </s>"
doc#237	<s> Distr . </s>	<s> Distr . </s>
doc#241	"<s> 314 . In the context of the coordination of work , representatives of the Asian-African Legal Consultative Committee ( AALCC ) and the International Institute for the Unification of Private Law ( UNIDROIT ) made statements concerning the activities of their respective organizations . </s>"	"<s> 314 . </s><s> En el contexto de la labor de coordinación , los representantes del Comité Jurídico Consultivo Asiático-Africano ( AALCC ) y del Instituto Internacional para la Unificación del Derecho Privado ( UNIDROIT ) formularon declaraciones respecto de las actividades de sus respectivas organizaciones . </s>"
doc#241	"<s> ( f ) the procuring entity applies this Law , pursuant to article 1 ( 3 ) , to procurement involving national defence or national security and determines that single-source procurement is the most appropriate method of procurement . </s>"	"<s> f ) Haya de aplicar la presente Ley , de conformidad con el párrafo 3 del artículo 1 , a un contrato que revista interés para la defensa o la seguridad nacionales y decida que el método seleccionado constituye el más apropiado para la adjudicación . </s>"
doc#248	"<s> 16 . Although increasingly frequent use is being made of the mechanisms provided by the Charter to ensure that the Security Council assumes its peace-keeping responsibilities , this does not alter the fact that the primary obligation in this regard is the duty of Member States to settle their disputes by peaceful means . </s>"	"<s> 16 . </s><s> El recurso , cada día más frecuente a los mecanismos previstos por la Carta a fin de que el Consejo de Seguridad asuma su responsabilidad en materia de mantenimiento de la paz , no debe ocultar que la primera obligación al respecto la constituye el deber que tienen los Estados Miembros de resolver sus controversias por medios pacíficos . </s>"
doc#249	"<s> 7 . Women , particularly those who are resource poor and living in rural areas , tend to be doubly disadvantaged because of their dual need to earn a living and to provide care for their family members , given that these tasks are not equitably shared . </s>"	"<s> 7 . </s><s> Las mujeres , en particular las que carecen de recursos y viven en las zonas rurales , tienden a estar doblemente en desventaja debido a su doble necesidad de ganarse la vida y atender a los miembros de su familia dado que esas tareas no se comparten de modo equitativo . </s>"
doc#249	"<s> Even broad concepts of development , which include improvements in social indicators such as reduced infant mortality and increased life expectancy and school enrolment , remain based in the production of commodities . </s>"	"<s> Incluso los conceptos más amplios de desarrollo que incluyen mejoras en indicadores sociales como la reducción de la mortalidad infantil y el aumento de la esperanza de vida y la matrícula escolar , siguen basándose en la producción de bienes . </s>"
doc#252	"<s> Consideration of the eleventh periodic report of Canada , which was initially scheduled for the forty-third session , was postponed to the forty-fourth session at the request of the Government of Canada . </s>"	"<s> El examen del undécimo informe periódico del Canadá , previsto en un principio para el 43º período de sesiones , fue aplazado hasta el 44º período de sesiones a petición del Gobierno del Canadá . </s>"
doc#252	"<s> The post of Minister for Humanitarian Affairs had recently been established with a view to creating the conditions necessary for the exercise of human rights , coordinating humanitarian undertakings , monitoring respect for human rights and educating the general public in that regard , and providing a mechanism for reparations to victims of human rights abuses . </s>"	"<s> El cargo de Ministro de Asuntos Humanitarios había sido creado recientemente a fin de establecer las condiciones necesarias para el ejercicio de los derechos humanos , coordinar las empresas humanitarias , vigilar el respeto de los derechos humanos y educar al público en general a este respecto , así como proporcionar un mecanismo para reparar los daños sufridos por las víctimas de violaciones de los derechos humanos . </s>"
doc#252	"<s> Additionally , the newly created National Human Rights Commission investigated reports of human rights abuses , including torture , disappearances and arbitrary detention , and promoted human rights education . </s>"	"<s> Además , la recientemente establecida Comisión Nacional de Derechos Humanos investigaba los informes sobre violaciones de los derechos humanos , incluidos la tortura , las desapariciones y la detención arbitraria , y promovía la enseñanza en materia de derechos humanos . </s>"
doc#252	"<s> 234 . Moreover , the Committee expressed the wish to receive further information , in the next report , on the actual status of the Convention in domestic legislation , particularly in cases where the provisions of domestic legislation conflicted with those of international instruments ; on the situation of children of mixed parentage and foreign workers and the general social attitude towards them ; on the actions taken to assure equal provision of education , medical and other care and employment opportunities for those persons living in the south-western region of the Republic of Korea as compared to those living in the south-eastern region ; and on the provision of education and training to promote tolerance and better understanding of the principles and provisions of human rights instruments . </s>"	"<s> 234 . </s><s> Además , del Comité expresó el deseo de recibir en el informe siguiente más datos sobre la situación jurídica real de la Convención en la legislación interna , en particular en los casos en que las disposiciones de la legislación interna fueran incompatibles con los instrumentos internacionales ; sobre la situación de los hijos de uniones mixtas y de trabajadores extranjeros , así como la actitud general de la sociedad hacia ellos ; sobre las medidas adoptadas para asegurar la igualdad de posibilidades en materia de educación , atención médica y de otra índole y las oportunidades de empleo para las personas que vivían en la región sudoccidental de la República de Corea , en comparación con las que vivían en la región sudoriental ; y sobre los arreglos para proporcionar enseñanza y capacitación con el fin de promover la tolerancia y la mejor comprensión de los principios y las disposiciones de los instrumentos de derechos humanos . </s>"
doc#252	"<s> 243 . Concerning article 5 of the Convention , members requested further information about enjoyment of the civil , political , economic , social and cultural rights set out in article 5 of the Convention , having regard to the country '' s various ethnic groups . </s>"	"<s> 243 . </s><s> Respecto del artículo 5 de la Convención , se solicitó información suplementaria sobre el disfrute de los derechos civiles , políticos , económicos , sociales y culturales enunciados en el artículo 5 de la Convención , habida cuenta de la existencia de diversos grupos étnicos en el país . </s>"
doc#252	<s> For that purpose the Committee recommended that the Government of Tonga should request the assistance of the Centre for Human Rights . </s>	"<s> A tal efecto , el Comité recomendó que el Gobierno de Tonga solicitara la asistencia del Centro de Derechos Humanos de las Naciones Unidas . </s>"
doc#262	"<s> 3 . The Lima Treaty of 1987 describes the Latin American Parliament as "" ... a permanent and unicameral regional body ... "" composed of "" ... the national congresses or legislative assemblies of the democratically constituted States Parties in Latin America ... "" which are to appoint plurally constituted delegations to represent them . </s>"	"<s> 3 . </s><s> El Tratado de Lima de 1987 describe al Parlamento Latinoamericano como "" ... un organismo regional permanente y unicamaral ... "" compuesto por "" ... los Congresos o Asambleas Legislativas nacionales de los Estados Partes democráticamente constituidos en América Latina , ... "" quienes se harán representar por delegaciones constituidas pluralmente . </s>"
doc#267	<s> by the Department of Foreign Affairs of Indonesia </s>	<s> de Xanana Gusmao por el Ministerio de Relaciones Exteriores </s>
doc#282	"<s> Over the period of 1991 to 1992 , this worsening trend of disaster losses continued . </s>"	<s> Durante el período 1991-1992 continuó esta tendencia desfavorable de las pérdidas causadas por los desastres . </s>
doc#288	<s> Statement by the President of the Russian Federation </s>	<s> Declaración del Presidente de la Federación de Rusia </s>
doc#292	"<s> FAO has been involved in providing assistance to the following non-independent small Territories in the Caribbean : Anguilla , British Virgin Islands , Montserrat , Cayman Islands and Turks and Caicos Islands . </s>"	"<s> La FAO se ha ocupado de prestar asistencia a los siguientes territorios no independientes del Caribe pequeños : Anguila , Islas Caimán , Islas Turcas y Caicos , Islas Vírgenes Británicas y Montserrat . </s>"
doc#294	"<s> In the view of some delegations , the composition of the bureau of the conference of the parties should be specified in the convention , while others thought that that question should be left to the conference of the parties . </s>"	"<s> Ciertas delegaciones fueron de la opinión de que la composición de la Mesa de la conferencia de las partes debería estar prevista en la convención , mientras que otras delegaciones estimaron que esta cuestión correspondería a la conferencia de las partes . </s>"
doc#295	"<s> 4 . Representatives of the following States attended the session : Algeria , Argentina , Armenia , Australia , Austria , Bangladesh , Belgium , Benin , Bolivia , Botswana , Brazil , Burkina Faso , Cameroon , Canada , Cape Verde , Central African Republic , Chad , Chile , China , Côte d '' Ivoire , Cuba , Czech Republic , Denmark , Egypt , Ethiopia , Finland , France , Gabon , Gambia , Germany , Ghana , Greece , Guinea , Holy See , Iceland , India , Indonesia , Iran ( Islamic Republic of ) , Iraq , Israel , Italy , Japan , Jordan , Kazakhstan , Kenya , Kuwait , Lebanon , Lesotho , Madagascar , Malawi , Malaysia , Mali , Mauritania , Mexico , Mongolia , Morocco , Mozambique , Netherlands , Niger , Nigeria , Norway , Pakistan , Peru , Philippines , Poland , Portugal , Romania , Russian Federation , Saudi Arabia , Senegal , Slovakia , Spain , Sudan , Sweden , Switzerland , Thailand , Togo , Tunisia , Turkey , Turkmenistan , Uganda , United Kingdom of Great Britain and Northern Ireland , United Republic of Tanzania , United States of America , Uzbekistan , Yemen and Zambia . </s>"	"<s> 4 . </s><s> Asistieron al período de sesiones representantes de los siguientes Estados : Alemania , Arabia Saudita , Argelia , Argentina , Armenia , Australia , Austria , Bangladesh , Bélgica , Benin , Bolivia , Botswana , Brasil , Burkina Faso , Cabo Verde , Camerún , Canadá , Côte d '' Ivoire , Cuba , Chad , Chile , China , Dinamarca , Egipto , Eslovaquia , España , Estados Unidos de América , Etiopía , Federación de Rusia , Filipinas , Finlandia , Francia , Gabón , Gambia , Ghana , Grecia , Guinea , India , Indonesia , Irán ( República Islámica del ) , Iraq , Islandia , Israel , Italia , Japón , Jordania , Kazajstán , Kenya , Kuwait , Lesotho , Líbano , Madagascar , Malasia , Malawi , Malí , Marruecos , Mauritania , México , Mongolia , Mozambique , Níger , Nigeria , Noruega , Países Bajos , Pakistán , Perú , Polonia , Portugal , Reino Unido de Gran Bretaña e Irlanda del Norte , República Centroafricana , República Checa , República Unida de Tanzanía , Rumania , Santa Sede , Senegal , Sudán , Suecia , Suiza , Tailandia , Togo , Túnez , Turkmenistán , Turquía , Uganda , Uzbekistán , Yemen y Zambia . </s>"
doc#295	"<s> 4 . Representatives of the following States attended the session : Algeria , Argentina , Armenia , Australia , Austria , Bangladesh , Belgium , Benin , Bolivia , Botswana , Brazil , Burkina Faso , Cameroon , Canada , Cape Verde , Central African Republic , Chad , Chile , China , Côte d '' Ivoire , Cuba , Czech Republic , Denmark , Egypt , Ethiopia , Finland , France , Gabon , Gambia , Germany , Ghana , Greece , Guinea , Holy See , Iceland , India , Indonesia , Iran ( Islamic Republic of ) , Iraq , Israel , Italy , Japan , Jordan , Kazakhstan , Kenya , Kuwait , Lebanon , Lesotho , Madagascar , Malawi , Malaysia , Mali , Mauritania , Mexico , Mongolia , Morocco , Mozambique , Netherlands , Niger , Nigeria , Norway , Pakistan , Peru , Philippines , Poland , Portugal , Romania , Russian Federation , Saudi Arabia , Senegal , Slovakia , Spain , Sudan , Sweden , Switzerland , Thailand , Togo , Tunisia , Turkey , Turkmenistan , Uganda , United Kingdom of Great Britain and Northern Ireland , United Republic of Tanzania , United States of America , Uzbekistan , Yemen and Zambia . </s>"	"<s> 4 . </s><s> Asistieron al período de sesiones representantes de los siguientes Estados : Alemania , Arabia Saudita , Argelia , Argentina , Armenia , Australia , Austria , Bangladesh , Bélgica , Benin , Bolivia , Botswana , Brasil , Burkina Faso , Cabo Verde , Camerún , Canadá , Côte d '' Ivoire , Cuba , Chad , Chile , China , Dinamarca , Egipto , Eslovaquia , España , Estados Unidos de América , Etiopía , Federación de Rusia , Filipinas , Finlandia , Francia , Gabón , Gambia , Ghana , Grecia , Guinea , India , Indonesia , Irán ( República Islámica del ) , Iraq , Islandia , Israel , Italia , Japón , Jordania , Kazajstán , Kenya , Kuwait , Lesotho , Líbano , Madagascar , Malasia , Malawi , Malí , Marruecos , Mauritania , México , Mongolia , Mozambique , Níger , Nigeria , Noruega , Países Bajos , Pakistán , Perú , Polonia , Portugal , Reino Unido de Gran Bretaña e Irlanda del Norte , República Centroafricana , República Checa , República Unida de Tanzanía , Rumania , Santa Sede , Senegal , Sudán , Suecia , Suiza , Tailandia , Togo , Túnez , Turkmenistán , Turquía , Uganda , Uzbekistán , Yemen y Zambia . </s>"
doc#296	"<s> 7 . Global and regional concerns about proliferation of weapons of mass destruction and destabilizing accumulation of conventional arms in regions of political tensions or conflict , are central elements of a new international thinking about arms control and verification . </s>"	<s> 7 . </s><s> La inquietud que provocan a nivel mundial y regional la proliferación de las armas de destrucción masiva y la desestabilizadora acumulación de armas convencionales en regiones de tensiones o de conflictos políticos son elementos fundamentales de la nueva opinión internacional acerca del control de armas y la verificación . </s>
